,words,absolutism,administrativ,akademi,allmoge,allmän,allmänna,alternativ,amerikanism,anakronism,anarkism,annan,annorlunda,antagonism,antisemitism,arkiv,artikel,assosiera,ateism,autonomi,avtal,barbarism,befattningshavare,begrepp,bilda,bonapartism,byråkratism,byta,central,cesarism,chauvinism,dagstidning,del,dela,delstat,delta,demokrati,demokratism,despotism,diskutera,dogmatism,dynastisk,ekonomi,ekonomisk,epok,era,europa,europeisk,fanatism,fatalism,federalism,fennicism,finans,finland,finlandism,finländare,finländsk,finne,finsk,finska,folk,folkrepresentation,form,formalism,fred,fråga,furstendöme,förbi,fördrag,förena,föreställning,författning,förhandla,förra,försvara,förvaltningssystem,förändring,gemensam,general,gensaga,geografisk,gestalt,grundlag,gräns,gränslandet,gränslinje,gudasaga,hertig,hertigdöme,hisoriograf,historia,historie-,historieskrivning,historiker,historisk,human,humanism,huvud,härskare,hävdateckning,idea,idealism,ifrågasatta,imperialism,imperium,indifferentism,individualism,inre,inrikes,integritet,intellectual,intern,intresse,invändning,invånare,jämförelse,jämlikhet,karelare,karelen,karelsk,karta,katolicism,kejsardöme,kejsare,kejserling,klerikalism,knutpatriotism,kombinera,kommunism,koncept,konservatism,konstitution,konstitutionalism,kontroversiell,kosmopolitism,krig,kultur,kung,kynne,lag,land,landområde,landtag,liberal,liberalism,lokal,lokalpatriotism,makt,marskalk,materialism,medborgare,medeltid,medlem,militarism,mobilisering,modern,monark,mynt,myt,napoleon,nation,naturalism,nature,nepotism,nihilism,nordiska,nutida,nyhetstidning,offentlig,officiell,olik,område,omtvistad,orts-,panslavism,paragraf,parlament,parlamentarianism,parlamentarisk regering,partifanatism,partikularism,patriotism,pengar,penning,period,pest,petersburg,pietism,polism,politik,positivism,princip,protektionism,protest,provins,publicera,radikalism,rationalism,realism,regel,regent,regering,regeringsform,region,representation,republikanism,res publica,retorik,retorisk,rike,riksdag,risk,ryska,ryss,ryssland,rätt-,rättighet,samarbete,samband,samfund,samhällelig,samhället,samhällsform,sankt petersburg,schism,sedel,sekel,sekterism,senat,separatismen,servilism,självstyrelse,skandinavien,skandinavism,skapa,skede,skepticism,skilja,slant,social,socialism,språk,språkdualism,språkfanatism,stat,statsform,statsorganism,statsskick,status,storfurstendöme,styre,styresman,ställning,stånd,stödja,stötta,suverän,suveränitet,svenska,sverige,swensk,system,talet,territorium,terrorism,tid,tidig,tidigare,tidstrogen,tjänsteman,trakt,tsar,tvistig,underståte,universitet,utforma,utilitarism,utvecklad,utverka,valuta,vandalism,vaxlä,vetenskap,välde,ämbetsman,århundrade,åsikt,överenskommelse,överlåta,year
1680,122652,0,0,0,47,13,6,0,0,0,0,137,4,0,0,27,3,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1618,27,0,0,0,0,0,0,0,0,6,0,0,2513,2,0,0,0,0,0,0,28,0,0,0,93,0,0,6,0,105,0,53,95,0,35,0,5,0,1,1,21,30,0,5,0,53,0,0,0,0,1,0,0,0,9,1,0,2,0,0,0,0,0,0,25,0,0,350,0,0,0,0,0,0,4,1,0,0,12,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,55,0,9,0,505,1160,0,1,0,0,0,0,11,627,0,0,0,0,0,0,0,0,15,2,0,32,0,2,0,0,0,0,0,0,0,6,0,0,30,0,0,0,0,0,0,0,0,0,73,0,3,0,0,0,0,0,1,0,13,1,3,0,0,0,4,1,166,48,0,2,0,0,0,0,10,28,197,2,5,1,519,5,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,221,0,0,0,0,0,33,0,2,431,0,0,0,0,0,77,12,0,12,0,0,20,0,0,0,0,21,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1680
1682-1683,87210,0,0,0,36,25,4,0,0,0,0,69,0,0,0,17,0,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,966,10,0,0,0,0,0,0,0,0,1,0,0,1605,3,0,0,0,0,0,0,16,0,0,0,86,2,1,13,0,49,0,87,123,0,10,0,10,0,3,0,41,9,0,10,0,30,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,16,0,0,324,0,0,0,0,0,0,9,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,21,0,0,0,0,0,122,0,2,0,503,992,0,0,1,0,0,0,4,661,0,0,0,0,0,0,1,0,9,0,0,47,0,1,0,0,0,0,0,0,0,2,0,0,24,0,0,0,0,0,0,0,0,1,52,0,6,0,0,0,0,0,0,0,6,0,3,0,0,0,3,1,10,2,0,0,0,0,0,0,17,21,166,0,0,0,357,5,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,131,0,0,0,1,0,21,0,4,556,1,0,2,1,0,44,3,0,9,0,0,43,1,0,0,0,11,5,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1682
1686-1689,133297,0,0,0,51,49,14,0,0,0,0,172,2,0,0,21,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,1297,23,0,1,0,0,0,0,0,0,0,0,0,1928,1,0,0,0,0,0,0,29,0,0,0,82,1,0,14,0,38,0,113,75,0,31,7,5,0,4,0,80,13,0,14,0,50,0,0,0,0,0,0,0,0,20,2,0,5,4,0,0,6,0,0,33,0,0,578,0,0,0,0,0,0,42,4,0,0,7,1,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,22,0,0,0,0,0,120,0,8,0,684,1049,0,0,0,0,0,0,5,499,0,1,0,0,0,0,0,0,43,0,0,34,0,0,0,0,0,0,0,1,0,1,0,0,30,0,0,0,0,0,0,0,0,0,92,1,5,0,0,0,0,0,6,0,5,0,5,0,0,0,0,3,12,0,0,0,0,0,0,0,27,18,87,1,2,2,675,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,198,0,0,0,0,0,22,0,13,606,0,0,0,0,5,81,7,0,28,0,0,44,2,0,0,0,9,32,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1686
1693-1697,146256,0,0,0,35,64,16,0,0,0,0,172,3,0,0,23,0,0,0,0,0,0,0,17,0,0,0,4,0,0,0,0,1832,63,0,2,0,0,0,0,0,0,6,1,0,2225,2,0,0,0,0,0,1,17,0,0,0,112,2,0,18,0,38,0,91,56,1,27,3,2,0,5,1,61,7,0,11,0,63,0,0,0,0,0,0,0,0,7,2,0,1,2,0,0,0,0,0,60,0,0,523,0,0,0,0,0,0,24,10,0,0,33,2,3,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,16,0,0,0,0,0,124,0,14,0,843,1083,0,0,2,0,0,0,15,317,0,1,0,0,0,0,0,0,197,0,0,89,0,7,0,0,0,0,0,0,0,1,0,0,63,0,0,0,0,0,0,0,0,0,94,0,1,0,0,0,0,0,3,0,6,0,9,0,0,0,3,0,19,0,0,0,0,0,0,0,24,27,50,0,4,2,885,22,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,5,0,0,0,0,0,0,6,0,0,256,0,0,0,0,0,35,0,11,611,0,0,0,0,17,74,33,0,35,0,0,142,4,0,0,0,32,20,2,0,1,0,0,0,0,0,0,1,5,13,0,0,0,0,0,1693
1710,135075,0,0,1,51,108,52,0,0,0,0,114,5,0,0,44,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1772,63,0,0,0,0,0,0,0,0,4,1,0,2266,1,0,0,0,0,0,0,49,0,0,0,102,13,4,18,0,28,0,113,70,0,39,3,10,9,14,1,34,17,0,17,2,102,0,0,0,0,2,0,0,0,10,3,0,5,2,0,0,1,0,0,118,0,0,466,0,0,0,0,0,0,30,7,0,0,46,4,3,7,1,3,0,1,0,3,0,0,4,0,0,0,0,0,26,0,0,0,0,0,231,0,19,0,743,1345,0,0,2,0,0,0,46,210,0,0,0,1,0,0,0,1,61,0,0,10,0,3,0,0,0,0,0,2,1,5,0,0,43,0,0,0,0,0,0,0,0,1,157,0,8,0,0,0,1,0,5,0,1,0,12,0,0,0,1,1,5,0,0,0,0,0,0,0,132,63,90,7,46,14,518,6,0,0,0,0,0,0,0,0,2,0,0,44,0,0,0,4,0,3,0,0,5,0,0,0,5,0,0,203,0,0,0,2,0,61,0,21,927,0,0,0,0,23,55,46,0,20,0,0,130,5,1,0,0,18,16,0,0,2,0,0,0,0,0,0,2,0,20,0,0,0,0,0,1710
1719-1720,604082,0,0,10,200,535,260,3,0,0,0,586,34,0,0,383,2,0,0,0,0,0,0,27,1,0,0,30,0,0,0,0,6969,311,0,36,0,0,0,1,0,0,17,1,0,9314,3,2,0,0,0,0,2,22,0,0,0,484,11,8,73,0,816,0,287,415,6,154,4,68,42,16,5,259,40,0,44,7,368,0,0,1,5,2,0,0,0,185,10,0,20,5,0,0,8,1,0,73,0,0,3073,0,0,0,0,0,0,95,36,0,0,103,22,6,33,0,2,0,5,0,4,0,0,2,0,0,0,0,0,36,0,0,0,0,0,362,0,131,0,2621,3920,0,0,1,0,1,0,173,1069,0,12,0,7,0,0,1,0,622,0,0,70,0,11,0,0,1,0,0,10,0,23,1,2,119,0,0,3,0,0,0,0,0,1,302,1,13,0,1,0,3,0,20,0,78,5,19,0,0,0,12,15,563,157,0,0,0,0,0,0,603,727,249,4,18,7,2979,147,1,5,0,1,0,0,0,0,20,0,0,16,0,0,0,0,0,85,15,0,34,0,0,0,18,0,0,1066,0,0,3,4,0,111,0,144,8335,6,0,6,6,81,367,103,0,139,0,0,1043,23,7,0,0,173,84,20,0,2,0,0,0,12,1,0,16,10,129,1,2,0,0,0,1719
1723,1074646,0,0,28,498,723,309,2,0,0,0,777,90,0,0,755,8,7,1,0,0,0,0,43,0,0,0,44,0,0,0,0,14770,690,0,76,0,0,0,1,0,0,768,6,0,18346,2,0,1,0,0,0,0,142,0,0,0,880,44,33,90,0,1385,0,352,1296,3,339,12,253,150,26,5,550,65,0,56,106,1185,1,1,1,2,13,0,0,0,188,2,0,22,12,0,1,5,2,0,115,0,0,6644,0,0,0,0,0,0,138,45,0,0,141,15,0,25,1,2,0,0,2,17,0,0,8,0,0,0,0,0,47,0,0,0,0,0,1173,0,295,3,4504,8203,0,0,0,0,0,0,136,2448,0,3,0,35,0,0,2,1,232,4,0,136,0,7,0,0,0,0,0,5,2,28,1,2,162,0,7,3,0,0,0,0,0,32,372,1,44,3,40,0,2,0,23,0,101,3,33,0,0,0,12,0,1031,295,2,3,0,0,0,0,962,1637,492,23,63,34,5796,433,0,3,0,0,0,0,0,4,32,1,0,36,0,0,0,0,0,70,14,0,135,0,0,0,61,0,0,1306,0,0,1,0,3,155,0,358,18239,16,0,2,2,80,235,141,9,162,0,0,1875,29,4,0,0,453,140,57,0,34,0,0,0,12,2,0,12,16,188,2,0,1,0,1,1723
1726-1727,814349,0,0,9,400,456,207,22,0,0,0,744,48,0,0,867,6,21,0,0,0,0,0,33,0,0,0,43,0,0,0,0,6851,456,0,11,0,0,0,0,0,0,791,8,0,12783,18,1,0,0,0,0,0,117,0,0,0,807,96,79,61,0,508,0,196,786,2,240,2,68,203,44,5,521,50,0,23,81,611,1,0,0,2,1,0,0,0,90,1,0,18,12,0,0,2,0,0,116,0,0,4233,0,0,0,0,0,0,100,57,0,0,292,10,5,63,3,6,0,1,17,19,0,0,1,0,0,0,0,0,11,0,0,0,0,0,509,0,67,2,3637,5549,0,0,4,0,4,0,54,198,0,9,0,20,0,0,1,0,114,0,0,112,0,12,0,0,1,0,0,5,1,30,0,3,122,0,6,7,0,0,0,0,0,20,375,1,8,9,5,0,8,0,29,0,60,11,31,0,0,0,7,2,307,107,1,0,0,0,0,0,1053,1376,193,45,74,63,4230,271,0,1,0,0,0,0,0,0,12,0,0,8,0,0,0,3,0,7,15,0,33,0,0,0,27,0,0,1010,0,0,0,4,1,181,0,329,12121,26,0,0,0,166,329,292,7,130,0,0,1587,38,10,0,0,269,119,34,0,2,1,0,0,25,1,0,9,3,217,0,0,0,1,0,1726
1731,472784,0,0,3,201,338,203,8,0,0,0,421,34,0,0,411,1,1,0,0,0,0,0,29,0,0,0,36,0,0,0,0,4208,258,0,2,0,0,0,0,0,0,327,7,0,7490,5,0,0,0,0,0,0,70,0,0,1,448,67,34,53,0,239,0,123,351,6,171,2,47,46,24,0,330,18,0,24,57,253,1,0,0,0,3,0,0,0,7,2,1,5,2,0,0,1,1,0,54,0,0,2398,0,0,0,0,0,0,18,74,0,0,59,3,4,25,0,2,0,3,3,10,0,0,1,0,0,0,0,0,3,0,0,0,0,0,198,0,54,0,2479,2902,0,0,3,0,0,0,79,169,0,7,0,9,0,0,0,0,89,1,0,45,0,15,0,0,0,0,0,0,0,21,0,2,88,0,5,0,0,0,0,0,0,2,444,1,1,0,0,0,2,0,15,0,89,0,26,0,0,0,5,0,163,67,0,0,0,0,0,0,592,576,107,14,22,10,2747,198,0,0,0,0,0,0,0,0,22,0,0,6,0,0,0,0,0,9,11,0,67,0,0,0,10,0,0,602,0,0,0,3,4,66,0,91,6630,15,0,0,0,33,114,59,7,58,1,0,943,22,3,0,0,139,97,28,0,2,1,0,0,17,4,0,1,8,115,0,0,0,0,0,1731
1734,925664,0,1,26,526,1089,701,8,0,0,0,720,43,0,0,786,4,0,1,0,0,0,0,53,0,0,0,55,0,0,0,0,8610,509,0,11,0,0,0,0,0,0,1110,14,0,12552,14,0,0,0,0,0,0,180,0,0,0,819,135,101,109,0,495,0,212,1013,6,346,6,76,340,72,2,570,65,0,58,171,733,0,1,1,2,14,0,0,0,38,0,2,21,12,0,1,9,2,0,146,0,0,4761,0,0,0,0,0,0,75,143,0,0,211,6,5,53,1,10,0,8,0,97,1,0,0,0,0,0,0,0,20,0,0,0,0,0,725,0,139,1,5412,6022,0,0,2,0,1,0,157,214,0,9,0,26,0,0,2,0,138,1,0,126,2,23,0,0,1,0,0,0,0,48,1,22,194,0,7,1,0,0,0,0,0,20,454,2,5,0,0,0,5,0,63,0,47,7,31,0,0,0,7,0,345,189,1,3,0,0,0,0,1314,2925,356,23,66,22,6213,441,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,58,5,0,161,3,0,0,60,0,0,1227,0,0,0,3,6,254,0,494,16675,23,0,0,0,134,214,211,9,117,0,0,2032,40,3,0,0,414,293,44,0,22,5,0,0,5,2,0,12,15,301,2,0,1,0,0,1734
1738-1739,1556928,0,1,70,1698,2089,1056,54,0,0,0,1209,75,0,0,1173,32,1,0,0,1,0,0,106,0,0,0,61,0,0,0,0,14579,867,0,53,0,0,0,2,0,0,1754,67,0,21496,17,5,0,0,0,0,0,393,0,0,2,1236,118,84,240,0,979,0,302,1821,15,552,13,258,597,275,0,1070,67,0,78,151,1053,1,1,0,3,18,0,0,0,83,3,1,75,10,0,0,9,1,0,290,0,0,7965,0,0,0,0,0,0,93,396,1,0,368,25,8,72,2,6,0,106,44,48,1,0,1,0,0,0,0,0,161,0,0,0,0,0,1351,7,346,2,8720,12051,0,0,0,0,3,0,291,643,0,16,0,24,0,0,1,0,124,0,0,231,0,11,0,0,0,0,0,2,0,84,0,4,357,0,13,6,2,0,0,0,0,71,716,0,15,0,1,0,14,0,120,0,118,10,31,0,0,0,21,13,712,529,2,1,0,0,0,0,2855,5566,311,29,63,27,9773,431,1,0,0,3,1,0,0,0,67,0,0,11,0,0,0,0,0,23,27,0,350,2,2,0,86,0,0,1904,0,0,2,7,12,290,0,916,28637,72,1,0,0,214,338,368,21,218,0,0,3986,90,11,0,0,505,553,55,0,42,2,0,0,8,3,0,16,22,382,15,0,1,1,0,1738
1740-1741,1069481,0,2,33,1206,1261,693,16,0,0,0,897,66,0,0,1860,11,9,0,0,2,0,0,88,1,0,0,48,0,0,0,0,10484,508,0,84,0,0,0,1,0,0,994,46,1,14209,15,0,1,0,0,0,0,505,0,0,0,836,143,107,184,0,588,0,347,771,8,351,26,179,392,303,0,479,39,0,37,101,548,1,1,1,4,24,0,0,0,119,1,1,64,20,0,0,6,2,0,175,0,0,5276,0,0,0,0,2,0,90,209,0,0,460,8,7,80,3,11,0,19,14,35,0,0,2,0,0,0,0,0,189,0,0,0,0,0,758,16,273,2,5472,8010,0,0,0,0,2,0,390,377,0,17,0,38,0,0,1,2,226,2,0,177,0,22,0,0,1,0,0,4,0,67,1,7,228,0,18,0,0,0,0,0,0,27,393,1,7,2,5,1,6,0,52,0,79,6,25,0,0,0,5,6,296,219,0,4,0,0,0,0,2277,4827,445,26,76,50,6159,355,0,2,0,0,2,0,0,0,22,0,0,6,5,0,0,0,0,20,38,0,230,0,5,0,124,0,0,1077,1,0,0,0,8,269,0,702,20592,33,1,0,0,218,235,460,17,111,0,0,2494,55,11,0,1,781,267,34,0,38,0,0,0,9,0,0,21,42,152,5,0,3,1,1,1740
1742-1743,1664434,0,0,20,1887,1675,735,13,0,0,0,1407,115,0,0,1487,3,4,0,0,8,0,0,120,1,0,0,51,0,0,0,0,14351,889,0,101,0,0,2,2,0,0,473,20,0,26885,31,3,0,0,0,0,0,1570,0,0,0,1515,733,464,243,0,1199,0,2274,1397,24,376,5,226,751,472,1,1331,142,0,43,225,1904,0,1,0,6,13,0,0,0,391,2,2,60,35,0,1,19,1,0,406,0,0,7758,0,0,0,0,2,0,70,146,0,0,809,14,9,178,3,8,0,49,10,4,0,0,2,0,0,0,0,0,296,0,0,0,0,0,3100,1,335,0,7023,11823,0,0,0,0,6,0,519,439,0,12,0,44,0,0,0,0,236,8,0,280,0,18,0,0,9,0,0,13,0,117,0,1,344,0,5,3,0,0,0,0,0,37,479,5,1,46,1,0,4,0,164,0,143,9,41,0,0,0,25,14,656,392,0,6,0,0,0,0,3709,5310,710,506,834,704,9394,502,0,3,0,1,2,0,0,0,37,0,0,10,0,0,0,8,0,33,14,0,231,0,0,0,87,0,0,1971,0,0,0,4,15,488,0,1078,32105,43,1,0,0,552,756,809,61,153,0,0,4379,104,13,0,0,1330,394,17,0,15,0,0,0,8,1,0,12,8,358,7,3,4,1,0,1742
1746-1747,845170,0,0,16,1298,1045,625,10,0,0,0,890,75,0,0,224,0,4,0,0,0,0,0,65,1,0,0,31,0,0,0,0,7268,531,0,90,0,0,0,0,0,0,475,26,0,12452,5,1,0,0,0,0,1,467,0,0,0,549,360,341,224,0,311,0,311,567,22,243,3,118,295,149,0,845,64,0,25,86,331,4,0,0,9,17,0,0,0,5,0,0,11,11,0,0,2,0,0,127,0,0,4604,0,0,0,0,0,0,139,78,0,0,191,9,19,91,7,8,0,17,6,26,0,0,0,0,0,0,0,0,12,0,0,0,0,0,664,1,57,1,4603,6720,0,0,0,0,6,0,190,235,0,9,0,21,0,0,0,0,140,0,0,129,0,2,0,0,0,0,0,0,0,76,0,2,259,0,8,3,0,0,0,0,0,2,388,0,5,1,0,0,0,0,40,0,93,6,17,0,0,0,15,2,347,184,0,2,0,0,0,0,1799,2900,633,45,40,21,5023,395,0,0,0,1,4,0,0,0,28,0,0,1,0,0,0,1,0,8,18,0,206,12,0,0,22,0,0,928,0,0,0,1,22,70,1,524,16091,30,0,0,0,90,141,191,13,130,0,0,2038,43,7,0,1,322,265,19,0,8,0,0,0,7,2,0,7,6,242,6,0,1,0,0,1746
1751-1752,169160,0,0,2,67,247,159,4,0,0,0,189,16,0,0,2,0,1,0,0,0,0,0,33,0,0,0,7,0,0,0,0,1625,151,0,20,0,0,0,2,0,0,58,3,0,1915,7,1,0,0,0,0,0,53,0,0,0,137,10,8,19,0,205,0,62,223,4,62,1,25,61,52,0,119,11,0,17,25,77,2,0,0,16,6,0,0,0,7,2,0,2,4,0,0,0,0,0,61,0,0,1247,0,0,0,1,0,0,12,5,0,0,73,5,0,11,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,38,0,38,4,1243,1217,0,0,0,0,0,0,20,33,0,8,0,9,0,0,0,0,10,0,0,33,0,10,0,0,0,0,0,0,0,24,0,0,70,0,1,1,0,0,0,0,0,3,60,0,1,0,0,0,0,0,18,0,15,0,0,0,0,0,7,6,241,145,0,1,0,0,0,0,500,563,8,1,1,1,1019,146,0,2,0,0,6,0,0,0,12,0,0,0,0,0,0,0,0,5,0,0,19,0,0,0,3,0,0,292,0,0,0,1,4,102,0,82,2070,10,0,0,0,28,44,73,27,44,0,0,649,16,2,0,0,19,51,2,0,1,0,0,0,0,1,0,0,1,76,2,0,0,0,0,1751
1755-1756,90838,0,0,0,8,133,62,0,0,0,0,95,6,0,0,4,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,726,52,0,7,0,0,0,0,0,0,15,4,0,924,0,1,0,0,0,0,0,3,0,0,0,86,0,0,25,0,106,0,43,86,0,28,2,29,34,26,0,43,25,0,2,8,13,0,0,0,55,0,0,0,0,0,0,0,2,2,0,0,1,0,0,30,0,0,716,0,0,0,0,0,0,5,4,0,0,180,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,16,0,12,1,691,626,0,0,0,0,0,0,8,67,0,15,0,5,0,0,0,0,4,0,0,12,0,8,0,0,0,0,0,0,0,30,0,0,24,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,56,0,1,0,1,0,0,0,5,3,166,42,0,0,0,0,0,0,271,362,75,0,1,0,545,73,0,0,0,0,17,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,27,0,0,0,3,0,0,140,0,0,0,1,0,37,0,45,874,0,0,0,0,28,32,180,1,18,0,0,353,13,4,0,0,18,20,2,0,0,0,0,0,0,0,0,0,3,45,0,0,0,0,0,1755
1760-1762,1531161,0,0,13,1626,1596,745,101,0,0,0,1285,122,0,0,527,6,16,0,0,2,0,0,151,2,0,0,42,0,0,0,24,12165,863,0,165,0,0,3,0,0,0,698,82,1,21883,20,4,0,0,0,0,2,264,0,0,0,859,137,109,311,0,824,0,1343,1964,9,460,12,342,688,674,0,702,137,0,67,153,643,2,1,0,474,43,0,0,0,14,3,1,25,51,0,0,3,0,0,335,0,0,8860,0,0,0,5,0,0,86,130,0,0,363,8,12,121,9,4,0,7,3,28,0,0,6,0,0,0,0,0,512,0,0,0,0,0,2110,3,186,2,11716,10349,0,0,1,0,2,0,136,314,0,291,0,43,0,0,3,5,511,6,0,307,2,29,0,0,1,0,0,27,0,262,1,10,470,0,15,15,0,0,0,0,0,17,702,8,2,5,1,0,3,0,355,0,62,6,9,0,0,0,18,10,1118,352,0,5,0,0,0,0,4203,4879,137,20,52,22,8735,1117,0,0,0,0,55,0,0,3,199,0,0,4,0,0,0,0,0,12,55,0,304,30,0,0,65,0,0,1826,0,0,0,13,9,391,1,939,21565,52,5,0,0,114,234,363,53,129,0,0,4209,73,13,0,0,827,328,11,0,21,0,0,0,7,17,0,36,20,376,14,1,0,0,0,1760
1765-1766,1106094,0,0,28,1539,1673,685,33,0,0,0,735,78,0,0,400,1,458,0,0,1,0,0,111,0,0,0,50,0,0,0,34,9787,790,0,155,0,0,0,0,0,0,835,46,0,16010,12,2,0,0,0,0,9,153,0,0,0,664,70,58,172,0,505,0,695,1086,1,370,10,229,282,782,0,582,105,0,166,151,707,3,2,3,187,35,0,0,0,12,1,11,31,25,0,0,3,2,0,328,0,0,7101,0,0,0,0,0,0,78,59,0,0,187,25,17,63,21,6,0,26,8,19,0,0,1,0,0,0,0,0,72,0,0,0,0,0,618,1,488,4,7697,6922,0,0,0,0,2,0,99,180,0,318,0,32,0,0,4,2,689,1,0,289,0,27,0,0,1,0,0,0,0,197,0,10,263,0,21,2,0,0,0,0,0,26,858,14,2,0,0,0,1,0,335,0,38,14,14,0,0,0,21,12,467,146,0,3,0,0,0,0,2470,2948,236,9,31,18,6759,1051,0,3,0,0,33,0,0,1,100,0,0,0,0,0,0,0,0,32,10,0,160,25,0,0,23,0,0,1831,0,0,2,2,1,713,1,402,15251,35,5,0,0,65,187,187,115,130,0,0,2985,44,15,0,1,734,302,7,0,32,0,0,0,5,7,0,25,26,169,28,0,2,0,0,1765
1769-1770,745087,0,0,19,1369,1095,495,15,0,0,0,581,76,0,0,297,0,123,0,0,0,0,0,81,2,0,0,34,0,0,0,33,6616,560,1,100,0,0,1,0,0,0,502,47,0,9854,10,3,0,0,0,0,111,129,0,0,0,469,58,52,126,0,417,0,505,786,6,267,10,227,127,577,0,207,62,0,120,46,530,0,0,0,476,12,0,0,0,3,0,7,21,6,0,0,0,0,0,227,0,0,4766,0,0,0,0,0,0,55,52,0,0,211,6,10,41,30,5,0,19,12,22,0,0,0,0,0,0,0,0,578,0,0,0,0,0,344,1,96,3,6141,5412,0,0,0,0,3,0,89,191,0,382,0,20,0,0,0,1,680,1,0,242,0,22,0,0,0,0,0,1,0,136,0,9,175,0,50,2,0,0,0,0,0,23,752,9,0,0,0,0,5,0,235,0,22,14,12,0,0,0,10,13,583,207,0,0,0,0,0,0,1855,2969,91,4,15,8,4175,740,0,1,0,0,22,0,0,0,203,0,0,0,0,0,0,2,0,28,5,0,103,14,0,0,33,0,0,1394,0,0,0,1,6,838,1,260,11234,27,1,0,0,53,189,211,74,119,0,0,2091,27,8,0,0,260,203,6,0,9,0,0,0,9,7,0,35,6,168,19,1,0,0,0,1769
1771-1772,1128795,0,0,12,1357,1276,540,13,0,0,0,830,117,0,0,411,2,3,0,0,0,0,0,151,1,0,0,76,0,0,0,10,9036,714,0,267,0,0,3,0,0,0,530,85,0,14528,17,1,2,0,0,0,15,174,0,0,1,821,106,91,282,0,732,0,692,1374,7,347,8,587,230,699,0,395,129,0,380,104,471,1,1,0,704,73,0,0,0,8,0,2,14,14,0,0,4,0,0,548,0,0,6379,0,0,0,0,0,0,86,50,0,0,449,7,13,78,38,21,0,19,5,23,0,0,0,0,0,0,0,0,536,0,0,0,0,0,707,1,177,1,9564,6669,0,0,0,0,5,0,244,230,0,501,0,32,0,0,0,0,181,1,0,209,0,27,0,0,0,0,0,1,0,238,1,13,258,0,42,7,0,0,0,0,7,11,586,11,5,0,0,0,2,0,177,0,94,8,2,0,0,0,18,22,673,212,0,5,0,0,0,0,2048,4859,115,15,33,20,7456,1422,1,4,0,0,34,0,0,0,41,0,0,1,0,0,0,0,0,23,6,0,211,1,0,0,58,0,0,2296,0,0,5,7,4,642,3,498,16874,50,0,0,0,182,254,449,19,132,0,0,3075,44,5,0,0,588,285,10,0,14,0,0,0,12,6,0,24,15,321,53,1,3,0,0,1771
1778-1779,415087,0,0,1,202,767,379,30,0,0,0,353,40,0,0,430,2,1,0,0,1,0,0,44,2,0,0,18,2,0,0,23,3431,357,0,69,0,0,0,2,0,0,21,16,0,4299,23,4,0,0,0,0,7,81,0,0,0,262,32,24,433,0,317,0,548,463,3,115,5,138,27,278,0,181,30,0,94,54,175,0,1,0,40,22,0,0,0,156,3,0,14,12,0,0,8,2,0,119,0,0,3200,0,0,0,0,4,0,63,28,0,0,183,8,3,29,8,6,0,23,0,7,1,0,2,0,0,0,0,0,88,0,0,0,0,0,82,0,286,0,3343,2629,0,0,0,0,3,0,79,198,0,99,6,13,0,0,4,1,98,4,0,56,1,30,0,0,0,0,0,1,0,169,0,3,137,0,35,0,0,0,0,0,3,13,291,5,3,3,0,0,1,0,114,0,23,3,4,0,2,0,12,38,342,167,2,3,0,0,0,0,925,1033,44,4,17,11,2652,256,0,1,0,1,68,0,0,0,63,0,0,0,0,0,0,0,0,48,14,0,85,0,0,0,22,0,0,1143,0,0,6,2,3,116,1,61,4918,27,0,0,0,115,217,183,12,87,0,0,1913,20,5,0,1,645,163,11,0,9,4,0,1,3,1,0,2,13,132,6,0,0,4,0,1778
